 #m, @ , ap, ar, ba, ga, go, ha, ho, no, re, rt, se, wo, yo,a @,ad ,ame,ans,app,arc,as ,ata,ay ,car,ce ,day,eat,ed ,fro,goo,he ,hot,ich,ith,ll ,lov,men,ne ,oli,ook,ot ,ou ,ove,re ,rea,s #,san,ve ,you,author
0.14620138903307864,0.011004723084545255,0.00930558993064206,0.01886604567771001,0.012615358005271431,0.003485532714019916,0.031084811071247838,0.05051852961007119,0.02079745463816253,0.014015675951805182,0.04579242371952099,0.004247833086093553,0.024357148204855752,0.041952457329117884,0.08047710707810718,0.01716623894979358,0.007058146359345094,0.035002488784835424,0.020473417959927288,0.015235561383601753,0.002466244509911086,0.019568974055066718,0.0010567799537277418,0.09559940080782922,0.0985750886660348,0.03439006084426572,0.07858069613404205,0.05699904423823503,0.06450133691285875,0.016162340405852006,0.014797467059466515,0.13302410695387162,0.05720251690132384,0.006707411273438568,0.06964037741220493,0.09812771476217257,0.05404576131173487,0.010472239004759376,0.0576397591379091,0.0065968931148999285,0.05591732082919091,0.054309703061719165,0.0524266216574777,0.051840704561260116,0.04489453305835391,0.10770692489449332,0.11402671307293727,0.005961090044890704,0.0580072196840163,0.08332259729873763,0
0.051899703253680096,0.016471035095999478,0.007761678812977916,0.03961522413666327,0.03702296337513263,0.0039455403133248,0.04338012495428553,0.059330243231576776,0.02937660260421301,0.042273647649965065,0.061186733361543136,0.012501960233198151,0.048607910117436384,0.02733266487567831,0.05803670270588425,0.0022057690654721453,0.01267691795651699,0.008358610876532488,0.006180112867684843,0.012826931099025224,0.008598529188800729,0.050042510301239004,0.0016747497592448349,0.05025812516427512,0.0074745705918232595,0.039966832267401935,0.03728505281328527,0.029357312244137207,0.10793815334901316,0.017075693388551416,0.014852004962473988,0.14763951002386955,0.007554387353043638,0.005723675210068265,0.027590939081831096,0.054756881010642466,0.013736309024889459,0.019482327119939725,0.042047963189938434,0.0016083903118904884,0.018023575363105646,0.022849968046993446,0.041909612243970766,0.02273944831926831,0.11027841477952544,0.050628495429511366,0.032353430569263354,0.0031489791488132557,0.06535500169376733,0.05556071067538367,0
0.0,0.0,0.0019704037871832165,0.07969573946257383,0.0093987639794023,0.006009762395367511,0.003733089043391611,0.02903471620456305,0.04729232069809875,0.020008289526118703,0.04696039386963848,0.004882748135824285,0.02722004644177786,0.10876967037351774,0.08912783516180149,0.029864712347132887,0.009465298814707928,0.011574233492212614,0.005883384619387136,0.0038309228203383147,0.011906450245243491,0.01968217051951936,0.0,0.046227112616575305,0.017077658456265826,0.04427390679527913,0.026502836681182203,0.06688354684075963,0.08710414861368915,0.013792826510282515,0.0,0.2036185170297673,0.006392600453653311,0.002075756985472911,0.032182015970006965,0.05930987159107645,0.0020512599352259407,0.07143996619635977,0.018404182711504718,0.014290882853611204,0.0038129338177311975,0.011601527108163643,0.05972942469426577,0.009310817216465941,0.10295163271420743,0.07344403670349993,0.0,0.007994095852314772,0.036464226036176085,0.08975790624670843,0
0.009294006791023738,0.0,0.007783623219805243,0.0,0.014851055001701028,0.0,0.0,0.0,0.0,0.0,0.0,0.00964408209466377,0.2437266904317602,0.0,0.028741130109675606,0.1622137280877334,0.0074780935883072535,0.0,0.007746982189197455,0.00756658610068294,0.0,0.021204504625590887,0.05038454216229017,0.0,0.0,0.05829793385579204,0.0,0.0,0.007168432071522359,0.0,0.0,0.0,0.0,0.0,0.0074780935883072535,0.0,0.0,0.028944309677504006,0.029080582330709107,0.0,0.030124221636520405,0.007638190403043677,0.0,0.0,0.028539407038723583,0.0,0.0,0.0,0.0,0.036180387096880005,0
0.009515781201813091,0.02984426075783879,0.003984678362219063,0.0,0.015205432187629441,0.024306662760866942,0.011323942254017142,0.05137640081453716,0.011035107560417031,0.09195922967014196,0.014610208444880216,0.009874210033263291,0.05504614372986124,0.0,0.01839184593402839,0.2189295502443314,0.01531307303578479,0.0,0.02776144476812788,0.0,0.008025998693205602,0.11940768613130295,0.017195607518920575,0.011218015916694165,0.01534913279550663,0.0037305652688547205,0.0,0.011593392624180023,0.05504614372986124,0.003984678362219063,0.012038998039808405,0.0,0.0,0.0,0.011484804776838595,0.03373320090198355,0.0,0.03333935401994685,0.007443626438588453,0.0,0.0,0.0,0.0,0.007531575434102391,0.014610208444880216,0.014852329547377538,0.0040511104601444895,0.008083089612246548,0.01843508084821619,0.003704372668882983,0
0.0,0.0,0.0,0.0,0.0,0.0,0.017575651833387558,0.06834876655245692,0.03425471519992422,0.051382072799886325,0.0510214415554808,0.1609183069557366,0.01708719163811423,0.0,0.08563678799981055,0.12302956283371293,0.0534759694824127,0.018164108037870032,0.018466265420823382,0.0,0.0,0.06739278185497807,0.020016704697667198,0.08705622900155338,0.0,0.10422236947644757,0.07130129264321693,0.017993860067421978,0.03417438327622846,0.0,0.0373709496611828,0.1357381422573582,0.0,0.0,0.03565064632160846,0.05235658933783895,0.0,0.0,0.0173296432983865,0.09611786397932584,0.01795156677626634,0.036413882947626174,0.07030260733355022,0.0,0.0,0.06915596190368398,0.0377258583922056,0.0,0.017167619998785712,0.06899374387004578,0
0.0,0.014468411295165766,0.007727042179577559,0.026044253144354414,0.01474309909007151,0.0274955328735268,0.01097962890374445,0.04981426103206603,0.028532203881747882,0.03209872936696636,0.0743713613595755,0.0,0.035581615022904314,0.029416964713172587,0.0927296626156806,0.0073197526024963,0.03340680082598604,0.003782413828591323,0.015381335002971184,0.01877895688945145,0.003890980952418499,0.017541969959662732,0.0,0.0616358989257005,0.026044253144354414,0.02170280702660344,0.022271200550657358,0.026228734989243385,0.10674484506871293,0.04636225307746537,0.0,0.10599567260702647,0.012534459602612595,0.008140190292788212,0.01855933379221446,0.06541503291538707,0.028154433372255275,0.010775214933053915,0.04691243138150585,0.0,0.011214465518130537,0.011373999823717016,0.0512382682174741,0.029210287891627777,0.12749376233070087,0.04320219843804158,0.0,0.007837316929684547,0.07149819099514948,0.09338519608646728,0
0.0018597216885190707,0.0004860523957699894,0.005451233934850929,0.11361613027315386,0.03937478136094552,0.005542116278080446,0.025450656805894974,0.056658652332164515,0.04493025066730315,0.03630364253918095,0.08744520852922777,0.0024122142689075145,0.02832932616608225,0.028905865135445918,0.0927360373773137,0.008483552268631659,0.019452669975340182,0.0091487925749811,0.006588195195841533,0.012491048577443554,0.0929374918222133,0.03182250510990637,0.00042007907143904615,0.09938874662193237,0.017623624167782938,0.024788889297550132,0.11185285235820604,0.035874545464655336,0.10220073363713217,0.029981786641680105,0.013332804733988408,0.12890178984432107,0.004210831441851266,0.01148539907740407,0.0400276093723346,0.059700251459752815,0.014592669579061147,0.0112214732298782,0.040005598486972486,0.018961401209368237,0.08212914764547084,0.028275297237248587,0.06417991716269167,0.026494873090953372,0.07602379353765518,0.039911751172003886,0.014251156143635431,0.005529029997816547,0.13474732646238438,0.09158170087610272,0
0.00947635753442435,0.0008255726849192848,0.01388859475300585,0.022291414955441232,0.015142436424238728,0.004034326800668863,0.03884309443315599,0.05847262804807781,0.048231208849498025,0.043957557432453886,0.06122989777859255,0.08112473657715444,0.02740904439753648,0.037767205121010415,0.10684128542610323,0.026313063970847605,0.041301084821702284,0.012949552551036431,0.0065824832683713825,0.027645575827748948,0.004662435844048473,0.09248787549139544,0.002140545812989569,0.049651288574162095,0.010827258692642882,0.04024702089301279,0.031770065247463286,0.03848453819806729,0.08222713319260942,0.01851812633734113,0.01998186790306488,0.10826189768002464,0.01430441429543648,0.015327910882277985,0.029228460027666218,0.047279663347032035,0.03029403702222622,0.014756102145096124,0.03706393830877379,0.009593406179582762,0.030715266417667936,0.02271515637350065,0.06452965688088817,0.0343767063133971,0.07820452290533107,0.054232921161025335,0.0531186362088067,0.0026832005179580035,0.070986991595988,0.10882625332008393,0
0.007346042399793824,0.02047940272577602,0.004101483711125398,0.051346982204917235,0.013694763647879832,0.01042465793587864,0.029139719996566282,0.06043706185745922,0.0340757595433839,0.032182661790973684,0.056394324559220735,0.0076227441584092925,0.037773163660912025,0.04098782520456143,0.10979966963979257,0.027197071996795198,0.021672687638025854,0.030115356586970694,0.006123264261788154,0.055819661705281784,0.008261269772189148,0.016760176052018662,0.0,0.05196085459587636,0.019748839309583557,0.036479255608545286,0.0256131762994851,0.03977745644885215,0.09443290915228003,0.02460890226675239,0.006195952329141861,0.14628142797912025,0.026612968167172853,0.010801952776824754,0.029553664960944345,0.05015406232479239,0.029888525826212937,0.013345364350851057,0.04980186950941514,0.0212479375412977,0.017857783062122913,0.030186372691619542,0.08353386399015668,0.038761765886770584,0.09587035175067526,0.05350696784198879,0.07297260555115047,0.012480051349138294,0.056926439430456825,0.10485643418525828,0
